actor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
07,-650.8201,48.950523,0.45158222,10.640434,6.339901,-7.3021855,-11.986554,-9.244443,-8.156207,-4.651697,-2.933789,-2.2302918,0.36481884,-5.120538,-0.52159244,-0.85750186,-6.8418655,1.0691164,-2.5316453,-1.3193355,-7.636939,-2.5154648,-2.7196944,-3.170206,-1.7335156,-0.3872111,-0.5075578,0.22974944,-0.6461319,-1.0898339,-3.513803,0.61941975,-0.78116703,3.8581097,4.8134837,6.3327227,4.597716,5.8054824,6.548217,9.320114,8.213553,7.408396,3.6038163,2.8758454,2.3779793,4.800861,3.5236633,1.8457752,-0.129541,0.85630196,0.11501307,1.6989874,1.1848875,0.8864006,0.2438321,0.87356126,-0.20653084,-0.4710125,-2.0514982,1.081397,-0.08600458,-0.5844323,-2.435852,-1.52157,-1.039548,-0.9779131,-1.6616651,0.43210045,0.8464728,0.932063,-0.59185356,0.02472541,-0.2624755,-0.1833635,-0.8384738,-0.11920143,-0.50495744,-0.075576425,-0.38504592,-0.10256593,0.11364493,1.2813517,-0.25843805,-0.42087048,0.4453974,0.29545715,-0.05336988,1.3798615,0.023822023,-0.26485944,-0.6074489,0.06558363,-0.4015378,0.12574942,0.37409076,-0.25577617,-0.72517353,0.16639899,-0.42495987,-0.18237682,-0.2522042,-0.14261724,0.33419785,0.415848,-0.19768831,0.32642528,0.27173084,-0.44559273,0.058906656,0.80567104,0.080538325,0.2814446,-0.055688802,-0.44899252,0.121399336,0.42511803,-0.21547036,0.13189456,0.17836952,-0.21632826,-0.45550025,0.07560217,-0.13470168,-0.34200254,-0.07900645,-0.1159158,-0.4873544,0.017475508
09,-660.5469,74.53181,-0.118715376,21.378948,11.625083,-4.646708,-2.1156259,0.51375806,-3.935819,-3.973721,-3.510933,-3.9011824,1.2604816,-1.8067485,-5.1596766,1.4148993,-0.6917988,-1.9776632,-2.672863,0.106173344,-3.0474648,-1.6280254,-4.3485494,-1.2905086,-1.4741923,-1.2283008,-3.6258705,0.22654761,-2.1351547,-0.5816674,-2.7625318,0.9891783,-2.4935231,0.87418836,-2.302585,0.6766774,-1.957489,-0.99845356,-3.5462492,-0.99016255,-2.1102095,-0.8424141,-2.3500237,-1.7339176,-2.6068597,-0.7981178,-1.436152,-0.5339946,-2.9714248,-3.3196757,-3.0761545,0.09929996,-0.35024557,-0.13471766,-1.0826049,-0.09297958,0.32268798,0.31634614,-0.98427784,0.10184668,-0.34373727,-0.7755222,-1.897372,-0.11787355,0.3381875,0.70573837,-0.7850558,-0.5526552,-0.6341717,-0.3153849,-1.1241223,-0.123320684,-0.43292886,-0.47479528,-1.799698,-0.9519099,-0.39327466,0.37186524,-0.7260739,-0.2620548,0.35412362,1.23033,-0.0864336,-0.22160229,-0.36466187,0.2947751,-0.4329838,0.533745,0.6009138,0.13172656,-0.4865431,0.5844475,0.63622737,0.38326836,-0.08606338,0.19688456,-0.24966934,0.060872376,-0.0031192256,0.39856127,0.44269067,0.2987065,0.06685554,0.3830528,0.16888298,-0.14309779,-0.36869168,-0.3934807,-0.11961653,0.01931091,-0.5414988,-0.15514475,0.35246018,0.14993635,-0.32015932,-0.29755896,-0.059044097,0.0057301987,0.0077217827,-0.24362686,0.119533665,0.25279647,0.17084323,0.23766531,0.17202856,0.13654438,0.09892059,-0.02613095
21,-554.5807,59.073185,-4.2722154,13.701019,10.895257,-9.489528,-2.7280738,-6.003274,-10.385372,1.1956784,-2.93591,-7.853904,-4.461015,-1.4169822,-3.1865835,-0.7711965,-4.2581987,0.35485032,-4.6321054,-1.0631775,-3.7192903,-0.742198,-4.926948,-1.7199951,-4.1154685,-2.2130516,-0.85849,-0.6411443,-0.7533995,-0.926669,-1.1786193,-1.3182847,-3.7986765,-0.7910047,-1.625823,-0.6195636,-2.2717216,-1.206948,-3.656025,-1.8310535,-2.751217,-1.060432,-3.2935379,-2.7884457,-2.9055934,-1.3596802,-0.76655036,0.4752185,-1.2451258,0.20817755,-1.254041,0.9911692,-0.9594326,0.68012965,-0.71363187,-0.50321347,-1.7253027,-0.10623152,-0.3038322,0.54873747,-0.09316169,0.34845087,-0.8628025,-0.30197528,-0.67795604,0.96977943,-0.10009721,0.12355462,-0.64634615,0.8141738,-0.17179435,0.22516806,0.2536072,0.44120997,0.17599942,0.6667219,0.54256326,0.5834607,-0.07510546,0.62513095,0.009699366,0.014135561,0.053885248,0.66556925,0.6093046,0.7548107,0.53729033,0.4614163,0.088755466,0.48905122,-0.07937643,-0.007600541,-0.15902448,0.23043106,0.13710167,-0.010328545,-0.020267699,0.5839762,0.19757603,0.42144203,0.14580925,0.30849355,-0.35473666,0.11362386,0.6164128,0.3127555,-0.6016548,-0.026083555,-0.15693837,-0.14913826,-0.49384293,-0.06666113,0.00016205174,-0.17146799,-0.4545632,-0.21585403,-0.10423165,0.18040484,-0.033138365,0.13063651,-0.2963193,-0.22251028,-0.10053609,-0.28254902,0.20764595,0.12617782,-0.206044,-0.058132738
06,-743.1232,53.72402,-2.647399,2.6727579,1.9372091,-8.898521,-13.272687,-11.373473,-5.6751847,-0.24744338,-6.4513865,-3.0061588,-4.7569213,-5.411657,-3.6055703,-4.7492447,-8.562764,-2.008671,-5.954908,-5.300692,-2.994662,-2.5842154,-6.0222297,-1.2939172,-4.192797,0.48366103,2.0558305,9.634521,6.6942024,9.91991,5.2922287,9.781671,6.6806808,9.460742,6.342049,3.5297909,0.5269183,1.5875124,3.2055948,6.2599893,2.6197503,-0.40698335,-3.002178,0.07689956,1.6175944,0.7292529,-1.9457238,-0.12812452,-0.7603222,0.47419113,-2.495602,-2.8758476,-0.4101837,2.4413316,0.7966169,0.56861424,-0.038904995,1.3579894,0.44624108,-1.2287878,-1.3841162,1.2435071,1.0508591,1.0981343,-0.7304864,-0.11380727,-0.7285534,-1.0064845,-2.0823896,0.18288201,-0.055192344,-0.5490954,-0.9887503,0.51486015,-1.2404191,-0.74349385,0.070429325,0.8857439,-0.9619018,0.21638457,0.3790703,0.49673632,-0.39677268,0.50783503,0.14794467,0.5357641,1.3942454,1.5164927,0.12841932,0.1529417,0.51588327,-0.06895858,-0.25695375,0.810011,0.0011990407,0.543443,0.123087786,0.11886021,0.24500024,0.7027885,0.044017613,0.24641643,0.22070669,0.3840757,0.1587362,0.55803823,0.17786555,-0.4905081,-0.553472,0.099778876,-0.08149765,-0.24235901,0.121366695,0.20437348,-0.6070321,-0.2867754,-0.65573746,-0.115020595,-0.004226915,-0.11355094,-0.45775712,0.1269968,0.3432249,0.25471404,0.014176874,-0.25954747,-0.13311031,-0.7649363
15,-450.42404,49.7558,-16.236279,7.8893175,8.945597,-14.339163,0.33594853,2.2491195,-14.448741,1.8203385,-3.066646,0.78472894,-1.0947795,-2.1850507,-0.24319881,-2.9773302,-4.973766,-2.6716526,-4.6045737,-0.45350325,-6.1357884,-1.7261119,-1.8516592,-1.3777009,-3.3307319,-0.78044266,-4.7352915,-0.909513,-1.9700457,1.3617537,0.9181246,3.0208895,3.811093,3.0842786,-0.07431713,3.1740055,4.277033,9.291936,12.27362,13.27046,9.186092,6.0417886,1.4702045,1.728164,1.4224552,4.4539156,2.9586992,2.9379303,0.36978912,2.5047297,1.9454949,2.462868,0.8210323,1.2251956,0.17549896,0.40321422,-0.22059369,0.92070705,-1.3727008,-0.019424947,-0.6188452,-0.42142278,0.32446483,1.3422642,-0.17349716,0.30124366,-0.42183313,-0.4222323,-1.6451399,-1.3825378,-0.9682416,0.5721242,-0.604099,0.17523439,0.27149814,0.6754117,0.009585678,0.3482197,0.1444715,0.8035284,0.8878969,1.0183097,-0.50022864,0.37883228,0.38536343,0.19309886,-0.20870008,1.1024237,0.44393513,-0.2517856,-0.82888114,0.33698967,-0.26486835,-0.3459944,0.48625267,0.7892506,-0.44791642,0.6381637,1.0471498,0.1789848,-0.6691601,0.26896253,0.2537149,-0.10411807,0.518489,0.93095297,0.086380534,0.48606217,0.40423292,0.07890023,-0.40887177,0.27866384,-0.11935596,-0.14246525,-0.24110533,0.04143034,-0.13044874,-0.05008874,0.26145822,0.0204776,-0.011113707,0.26618534,0.26691246,-0.15718634,0.24268879,0.13403733,-0.50111276,-0.10481536
16,-516.3607,39.63817,-3.9544833,8.232257,-6.10125,-7.1788516,-5.892061,-9.803115,-7.1960216,2.0154603,-7.0434313,-2.503003,-0.74394387,-5.118253,-1.775072,-3.9623652,-3.7484841,-3.3615274,-5.5815644,-2.377568,-0.33967835,-1.2621397,-0.7299114,0.62380767,-4.3090715,2.0554917,-1.3118914,1.6439757,1.2430536,3.8408422,4.1748705,3.1283605,0.6444244,-0.54974943,-0.5663014,3.411938,2.3887534,2.0970113,-0.77532613,1.5114932,-0.19178519,1.9390498,-0.75509024,0.58173186,-0.97483885,-0.58291847,-1.4991724,0.069611065,-1.2638177,0.07401344,-1.6874361,-0.92705876,-1.3757577,0.40551946,0.053011097,1.0726486,-0.73151124,0.80949223,0.13821551,0.8290469,-0.5840682,0.6263875,-0.09818676,0.36929318,-0.81689304,-0.8880926,-1.0555134,0.5748177,-0.9332415,-0.5678317,0.15962239,0.9014357,-0.32854685,-0.1293291,-0.7233366,-0.70849603,-0.4507329,0.35911053,0.23764206,0.28153473,-0.0779314,0.39128304,-0.12808223,0.2311725,-0.21731368,0.47238562,-0.0975791,0.33264413,-0.2474163,0.11425169,0.047737084,0.20829706,-0.059027776,0.04916871,-0.1996672,-0.22504161,0.033760827,0.21859688,-0.054791283,-0.034343388,0.2263886,0.3782323,-0.1692895,0.4666854,0.16023923,0.4421259,0.3727182,0.029371068,-0.104374565,0.11319092,0.13979016,0.22518407,-0.15251331,-0.07164217,-0.05321592,0.24660006,0.44205004,0.37099132,-0.21286416,-0.09190646,-0.06832178,-0.071363315,0.38281822,0.2191831,-0.26993644,0.021412136,0.015430354,-0.1164881
23,-694.9719,61.44457,-4.3426547,7.648777,11.443427,-0.54369175,-3.0594068,-5.3293533,-8.86564,-5.937996,-1.6874534,-4.5349364,-4.8765764,-0.8311284,-3.785116,0.026166085,-4.783459,-2.267226,-4.3771,-1.4634945,-3.285464,-2.8413372,-3.7140944,-1.7665955,-5.314778,-1.523486,-5.1048226,-3.2375011,-3.2400281,-0.26945406,-3.6271636,-1.2166235,-4.2203746,-2.888445,-4.6001167,-2.1485052,-4.007792,-1.6688257,-3.293529,-1.7645653,-2.2106166,0.4721664,-0.85691404,-0.19923049,-2.2961705,-1.7574651,-2.4601727,-1.8664908,-2.497298,-1.0251418,-1.7638683,-0.099673666,0.021308605,2.0177536,1.3885878,2.704994,1.2445226,3.0221539,1.9597336,3.6624944,1.6738119,1.9066916,0.4081356,1.429127,0.7507146,0.4468687,-0.49775687,1.0342202,0.23594739,0.47869277,0.037523516,0.3992133,-0.15029243,-0.4648709,-0.77382946,-0.3286389,-0.35682726,-0.24139394,-0.33209175,-0.22876847,-0.28507206,0.19723889,-0.06287121,-0.3378394,-0.24472629,0.7418756,-0.2173431,-0.41166258,-0.27363113,-0.039951835,0.042192657,0.09608603,-0.61364806,-0.49398065,-0.44813126,-0.2587376,-0.43442184,0.030757952,0.22574748,-0.40820673,-0.25124162,0.10925727,-0.19155686,0.021440588,-0.31325746,-0.38443038,0.041372184,0.3862602,-0.07811073,0.2112777,0.036117323,0.4855068,-0.16816963,-0.09386067,0.0006810702,-0.026978187,-0.10392557,0.17373577,0.02721322,0.09350219,-0.21607567,-0.06725245,-0.090311676,0.048387602,-0.17539641,0.083915785,-0.20878777,0.099188514
05,-718.7961,57.302082,7.230609,20.159082,6.042261,0.99578416,-1.6510487,-3.701744,-0.46868485,0.6529437,2.2405436,-0.445494,-2.5470264,1.6511413,1.777866,6.2761593,-1.4383094,1.4218156,1.7093538,2.8002136,-0.41712388,0.20136093,-1.4171454,1.4817975,-1.9285458,2.7837029,-1.0050789,0.06664281,1.8095671,1.534147,1.324372,0.0146102095,0.8665618,0.9294561,2.4594738,1.8962413,0.29379788,1.485489,1.139969,3.0327997,3.6052294,3.8229833,2.961255,2.2002304,2.4148114,2.2392426,1.9232866,1.3483806,-0.6822203,0.6824445,0.35595074,1.932877,1.6374344,3.232807,1.5669008,1.9806396,-1.0032039,-0.5116532,-0.09321319,0.73050684,0.08239124,-0.34895667,-1.3507361,-0.17218783,0.2956904,0.48468444,-0.67438114,-0.5155498,-0.24362572,0.24250098,-0.6391047,-0.8851484,-0.27116498,0.7989167,-0.87864935,-0.7099466,-0.17959426,0.012922693,-0.5521126,-0.22470102,-0.2111628,0.63133943,0.25756744,0.752353,-0.3445505,0.22654761,0.50176567,0.85637575,0.077593826,-0.26168096,-0.058885716,0.105103984,-0.18025042,0.069154106,-0.42527747,-0.06276154,0.0879663,0.3958283,-0.16455917,-0.008836678,-0.16327035,0.2353856,0.29333735,0.53336775,0.0006620275,0.028896336,0.22537377,0.44796216,0.22265661,0.20081884,0.07055645,0.29007494,0.10690933,-0.05216856,0.23354386,0.28521982,0.36467642,0.54487056,0.07509993,-0.09747887,-0.13959073,0.58383274,0.36680177,0.1232916,-0.09205886,-0.050002165,0.25605583,0.4943277
22,-545.8357,41.53368,-7.3006577,0.5026541,-3.9888642,-8.616607,-9.156188,-10.606966,-15.652883,-3.5377717,-4.1802034,-12.164621,-2.2517207,-5.901425,-3.772207,-6.7190104,-4.500661,-2.512052,-6.4291563,-3.4045877,-4.809864,-2.9864547,-7.2283373,-1.6390771,-4.2710247,-1.1838934,-0.81248033,2.5062315,3.4625008,6.451639,3.0223753,2.740155,-1.6579953,-0.69883966,-0.19345266,4.951874,3.9776113,6.322611,2.279649,2.4728851,0.49627063,1.9099009,0.6280948,2.0515459,0.38833144,0.21481094,-1.253723,0.3879391,0.42522997,1.9781725,-0.62601465,0.07478091,-0.96828485,0.6262197,0.5121719,0.5863431,-1.9030625,0.4582056,0.3386895,1.3532284,-0.21354973,0.29005197,0.043551918,0.13357168,-1.234195,-0.122610025,-0.6128184,-0.42790195,-1.2387266,-0.045610383,-0.03689138,0.37021965,-0.15426473,0.6096718,-0.571283,-0.24244438,-0.41215572,-0.005641806,-0.5940464,0.39600644,-0.31965476,-0.818637,-1.7189718,0.3107574,0.07279044,0.042810313,0.12765858,0.12913272,-0.93196255,-0.3690492,-0.22366194,-0.20442753,-1.1197302,0.08230424,0.01524353,-0.14467134,0.0023550289,-0.051898465,-0.38962668,0.14722887,0.011581936,0.2675824,-0.2738916,-0.030244663,-0.119991705,-0.19061042,-0.21755776,0.16336429,-0.20431872,-0.055977557,-0.04532096,-0.20507188,-0.16428927,0.26564756,-0.453525,-0.5580399,0.074940175,-0.051282216,-0.61202466,-0.075118035,-0.3291707,-0.5721634,-0.15312494,-0.08949625,-0.2806241,-0.039393924,0.10156682,0.0704269
16,-668.63855,44.037388,9.045462,9.658763,1.0042171,-10.988052,-12.244318,-6.4544373,-6.6376076,-3.0739202,-9.954462,-2.4193661,-2.2213204,-7.520728,-3.2037518,-4.4907665,-4.3014073,-1.596635,-6.287554,-4.0763483,-6.2142763,-3.4314828,-3.8537865,-3.831929,-4.405596,-1.9587522,-3.29636,-3.003113,-3.097392,-0.8441278,-0.88379425,1.7873669,1.5416025,4.255277,1.1234097,3.2312822,1.6194369,2.6646729,1.060802,2.296716,0.0914967,2.572956,2.2748573,3.9440658,3.2374601,2.7778327,1.4514474,1.6250901,-0.108392805,0.37198713,-0.9938993,-0.41864082,0.33461064,1.551614,-0.2002473,0.29589936,-0.4310364,1.0968552,-0.366085,-0.56272703,-1.1723071,0.48298755,-0.35624886,0.18939202,-0.6603651,0.25027904,-1.4966524,-0.5138538,-1.3142194,-0.5190459,-0.44469875,0.59004873,-0.38899282,-0.32753512,-1.3864714,-0.8882803,-1.3186885,-0.6809608,-0.45159364,0.47146854,-0.34155354,-0.46520066,-1.2630285,-0.2510598,-0.43725443,0.3372595,0.07465495,-0.13136896,-0.39763957,0.4845125,0.58828205,-0.005027684,-0.3452557,0.41069487,-0.10384653,-0.47328135,-0.05642656,0.20225507,-0.5551668,-0.07482815,0.1795272,0.32922623,-0.35312796,0.3154685,0.43611926,0.14181294,0.31601837,0.27217287,0.3084336,0.45009074,0.48129985,0.32013744,-0.04772865,0.51075447,0.43325695,0.3547999,0.6481299,0.7668357,0.06590071,0.48946455,0.71664524,0.105894156,0.0198513,0.68660897,0.27591982,0.14469647,0.5089591,-0.55414426
